Id,FromAddress,ToAddress,Speed,Type,PermitDirection
0011,48028,48002,1000,Horizontal,Forward
0021,48002,48005,1000,Horizontal,Forward
0031,48005,48006,1000,Horizontal,Forward
0041,48006,48008,1000,Horizontal,Forward
0051,48008,48009,1000,Horizontal,Forward
0211,48009,48011,600,Vertical,Forward
0071,48011,48012,1000,Horizontal,Forward
0081,48012,48013,1000,Horizontal,Forward
0091,48013,48014,1000,Horizontal,Forward
0101,48014,48015,1000,Horizontal,Forward
0111,48015,48016,1000,Horizontal,Forward
0121,48016,48017,1000,Horizontal,Forward
0231,48017,48002,600,Vertical,Forward
0131,48005,48014,600,Vertical,Forward
0141,48013,48006,600,Vertical,Forward
0151,48012,48008,600,Vertical,Forward
0161,48021,16018,400,Horizontal,Forward
0162,16018,16019,800,Vertical,Forward
0163,16019,48016,138,R2000,Forward
0171,48015,16020,138,R2000,Forward
0172,16020,48021,800,Vertical,Forward
0181,16022,48021,400,Horizontal,Forward
0182,52024,16022,800,Vertical,Forward
0191,52025,48021,800,Vertical,Forward
0221,48017,16027,1000,Horizontal,Forward
0222,16027,48028,600,Vertical,Forward
0061,48009,16029,1000,Horizontal,Forward
0062,16029,48030,600,Vertical,Forward
0201,48030,48011,1000,Horizontal,Forward
