ALID,ALCD,ALED,ALTX,CEIDSet,CEIDClear,AlarmLevel,AGVAlarmCode
601000,2,80,Agv already have a transfer command on middler get new transfer command.,1601000,2601000,0,1
601001,2,80,Watch low power thread is charging can't do new transfer command.,1601001,2601001,0,2
601002,2,80,Loading is off after load finished.,1601002,2601002,0,3
601003,2,80,Carrier ID is EMPTY after load finished.,1601003,2601003,0,4
601004,2,80,Carrier ID is ERROR after load finished.,1601004,2601004,0,5
601005,2,80,Move finish fail.,1601005,2601005,0,6
601006,2,80,Loading is ON after unload finished.,1601006,2601006,0,7
601007,2,80,Fork command is exist before unload.,1601007,2601007,0,8
601008,2,80,Vehicle is not in unload position and cannot unload.,1601008,2601008,0,9
601009,2,80,Fork command is exist before load.,1601009,2601009,0,10
601010,2,80,Vehicle is not in guide sections.,1601010,2601010,0,11
601011,2,80,This address is a couple but no charge direction.,1601011,2601011,0,12
601012,2,80,Charging is OFF after send start charge command to plc.,1601012,2601012,0,13
601013,2,80,Charging is ON after send stop charge command to plc.,1601013,2601013,0,14
601014,2,80,Vehicle is not in load position and cannot load.,1601014,2601014,0,15
601015,2,80,Vehicle already have cassette cannot load.,1601015,2601015,0,16
601016,2,80,Vehicle has no cassette to unload.,1601016,2601016,0,17
601017,2,80,AgvcMoveCommand is not match the map to move.,1601017,2601017,0,18
601018,2,80,Vehicle is not in transfer reject override.,1601018,2601018,0,19
601019,2,80,Vehicle is not in moving-step reject override.,1601019,2,0,20
601020,2,80,Vehicle is not pause by reserve reject override.,1601020,2601020,0,21
601021,2,80,Unload address unmatch current command unload address.,1601021,2601021,0,22
601022,2,80,Load address unmatch current command load address.,1601022,2601022,0,23
601023,2,80,ToUnloadSections is empty.,1601023,2601023,0,24
601024,2,80,ToLoadSections is empty.,1601024,2601024,0,25
601025,2,80,Exception happened in override-check.,1601025,2601025,0,26
601026,2,80,Fork not home reject transfer command.,1601026,2601026,0,27
601027,2,80,Carrier ID is mismatch after load finished.,1601027,2601027,0,28
601028,2,80,Carrier ID read reply is timeout,1601028,2601028,0,29
601029,2,80,Vehicle has alarm cannot do transfer command.,1601029,2601029,0,30
601030,2,80,MoveControl status is not idle cannot switch to auto mode.,1601030,2601030,0,31
601031,2,80,Real position is null cannot switch to auto mode.,1601031,2601031,0,32
601032,2,80,Vehicle is not in transfer reject avoid.,1601032,2601032,0,33
601033,2,80,Vehicle is not in moving-step reject avoid.,1601033,2601033,0,34
601034,2,80,Vehicle is not pause by reserve reject avoid.,1601034,2601034,0,35
601035,2,80,Exception happened in avoid-check.,1601035,2601035,0,36
601036,2,80,Get EMS from AGVC.,1601036,2601036,0,37
601037,2,80,Interlock error when loadunload and retry count = 0.,1601037,2601037,0,38
601038,2,80,SendWaitTimeout,1601038,2601038,0,40
601039,2,80,MoveControl Exception,1601039,2601039,0,100000
601040,2,80,Send PLC to Stop AGV,1601040,2601040,0,100001
601041,2,80,Command out of trigger range,1601041,2601041,0,100002
601042,2,80,Move : Initail Wheel Angle Timeout,1601042,2601042,0,100100
601043,2,80,Move : Enable allAxis Timeout,1601043,2601043,0,100101
601044,2,80,Reserve : Get Reserve with MoveControl Idle,1601044,2601044,0,100200
601045,2,80,Reserve : Get Reserve position not math,1601045,2601045,0,100201
601046,2,80,Reserve : Command's Reserve out of ReserveList's Range,1601046,2601046,0,100202
601047,2,80,SlowStop : Timeout,1601047,2601047,0,100300
601048,2,80,STurn : AGV turning too fast,1601048,2601048,0,100400
601049,2,80,STurn : AGV turning too slow,1601049,2601049,0,100401
601050,2,80,STurn : AGV turning with GroupTurn not Ready,1601050,2601050,0,100402
601051,2,80,STurn : AGV turning with wrong path,1601051,2601051,0,100403
601052,2,80,STurn : one of wheels turning too slow,1601052,2601052,0,100404
601053,2,80,STurn : stop in STurn feature distable,1601053,2601053,0,100405
601054,2,80,STurn : continue in STurn feature distable,1601054,2601054,0,100406
601055,2,80,RTurn : AGV turning too fast,1601055,2601055,0,100500
601056,2,80,RTurn : AGV turning too slow,1601056,2601056,0,100501
601057,2,80,RTurn : Virtual Axis not Link,1601057,2601057,0,100502
601058,2,80,RTurn : Turn direction format error,1601058,2601058,0,100503
601059,2,80,RTurn : stop in RTurn feature distable,1601059,2601059,0,100504
601060,2,80,RTurn : RTurn Control timeout,1601060,2601060,0,100505
601061,2,80,RTurn : stop in can't continue step,1601061,2601061,0,100506
601062,2,80,RTurn : continue in RTurn feature distable,1601062,2601062,0,100507
601063,2,80,StopAndClear : Timeout,1601063,2601063,0,100600
601064,2,80,SecondCorrection : Timeout,1601064,2601064,0,100700
601065,2,80,SecondCorrection : Disable Timeout,1601065,2601065,0,100701
601066,2,80,MoveMethod Initail Fail,1601066,2601066,0,101000
601067,2,80,MoveMethod Driver Command Fail,1601067,2601067,0,101001
601068,2,80,MotionDriver_Elmo Initail Fail,1601068,2601068,0,101100
601069,2,80,MotionDriver_Elmo Connect Fail,1601069,2601069,0,101101
601070,2,80,MotionDriver_Elmo Axis Setting format error,1601070,2601070,0,101102
601071,2,80,MotionDriver_Elmo Bulk Exception,1601071,2601071,0,101103
601072,2,80,MotionDriver_Elmo Disconnect : IPC witch controler,1601072,2601072,0,101104
601073,2,80,MotionDriver_Elmo Disconnect : controler witch driver,1601073,2601073,0,101105
601074,2,80,MotionDriver Axis Error,1601074,2601074,0,101110
601075,2,80,MotionDriver Axis XFL Error,1601075,2601075,0,101111
