EQPT_REAL_ID,ECID,ECNAME,ECMIN,ECMAX,ECV
AGVC01,0001,CONTROL STATE KEEPING TIME,0,600,10
AGVC01,0002,ESTABLISH COMMUNICATION TIMEOUT,60,1,3600
AGVC01,0003,GEM INITIAL CONTROL STATE,0,2,O
AGVC01,0004,DEVICE ID,0,99,0
AGVC01,0005,HEARTBEAT,0,99,0
AGVC01,0006,T3,1,120,45
AGVC01,0007,T5,1,240,10
AGVC01,0008,T6,1,240,5
AGVC01,0009,T7,1,240,10
AGVC01,0010,T8,1,120,5
AGVC01,0011,CONVERSATION TIMEOUT,1,600,60
AGVC01,0101,DCS SERIVE ORDER,0,2,0
AGVC01,0102,DCS ADVANCE MOVE,0,2,1
AGVC01,0103,DCS ADVANCE GET,0,2,1
AGVC01,0104,DCS ARM PRIORITY,1,2,1
AGVC01,0105,DCS Mode,0,1,0
AGVC01,0106,DCS SINGLE ARM,0,2,0	
