Id,FromAddress,ToAddress,Speed,Type,PermitDirection
1011,48001,20002,600,Horizontal,Forward
1012,20002,20003,600,Horizontal,Forward
1013,20003,20004,600,Horizontal,Forward
1014,20004,20005,600,Horizontal,Forward
1015,20005,16006,600,Horizontal,Forward
1016,16006,16007,300,R2000,Forward
1017,16007,48008,600,Horizontal,Forward
1021,48008,48009,600,Horizontal,Forward
1022,48009,16010,138,R2000,Forward
1023,16010,48011,600,Horizontal,Forward
1031,48011,16012,600,Horizontal,Forward
1032,16012,48013,600,Horizontal,Forward
1041,48013,16014,600,Horizontal,Forward
1042,16014,48015,600,Horizontal,Forward
1051,48015,48016,600,Horizontal,Forward
1061,48016,16017,300,R2000,Forward
1062,16017,24018,300,Horizontal,Forward
1063,24018,16019,300,Horizontal,Forward
1064,16019,48020,300,R2000,Forward
1071,48020,48021,600,Horizontal,Forward
1081,48021,16022,600,Horizontal,Forward
1082,16022,48023,600,Horizontal,Forward
1091,48023,16024,600,Horizontal,Forward
1092,16024,48025,600,Horizontal,Forward
1101,48025,16026,600,Horizontal,Forward
1102,16026,16027,300,R2000,Forward
1103,16027,48028,600,Horizontal,Forward
1111,48028,48029,600,Horizontal,Forward
1121,48029,16030,300,R2000,Forward
1122,16030,24031,300,Horizontal,Forward
1123,24031,16032,300,Horizontal,Forward
1124,16032,48033,300,R2000,Forward
1131,48033,16034,600,Horizontal,Forward
1132,16034,48035,600,Horizontal,Forward
1141,48035,16036,600,Horizontal,Forward
1142,16036,48037,600,Horizontal,Forward
1151,48037,16038,600,Horizontal,Forward
1152,16038,48039,600,Horizontal,Forward
1161,48039,16040,600,Horizontal,Forward
1162,16040,48041,600,Horizontal,Forward
1171,48041,16042,600,Horizontal,Forward
1172,16042,48043,600,Horizontal,Forward
1181,48043,16044,600,Horizontal,Forward
1182,16044,48045,600,Horizontal,Forward
1191,48045,16046,600,Horizontal,Forward
1192,16046,16047,600,Horizontal,Forward
1193,16047,48048,300,Vertical,Forward
1201,48048,20049,600,Horizontal,Forward
1202,20049,20050,600,Horizontal,Forward
1203,20050,48051,600,Horizontal,Forward
1211,48051,20052,600,Horizontal,Forward
1212,20052,20053,600,Horizontal,Forward
1213,20053,48054,600,Horizontal,Forward
1221,48054,20055,600,Horizontal,Forward
1222,20055,20056,600,Horizontal,Forward
1223,20056,48057,600,Horizontal,Forward
1231,48057,20058,600,Horizontal,Forward
1232,20058,20059,600,Horizontal,Forward
1233,20059,48060,600,Horizontal,Forward
1241,48060,20061,600,Horizontal,Forward
1242,20061,20062,600,Horizontal,Forward
1243,20062,48063,600,Horizontal,Forward
1251,48063,20064,600,Horizontal,Forward
1252,20064,20065,600,Horizontal,Forward
1253,20065,48066,600,Horizontal,Forward
1261,48066,16067,600,Horizontal,Forward
1262,16067,48068,600,Horizontal,Forward
1271,48068,20069,600,Horizontal,Forward
1272,20069,20070,600,Horizontal,Forward
1273,20070,20071,600,Horizontal,Forward
1274,20071,20072,600,Horizontal,Forward
1275,20072,48073,600,Horizontal,Forward
1281,48073,20074,600,Horizontal,Forward
1282,20074,48075,600,Horizontal,Forward
1291,48075,20076,600,Horizontal,Forward
1301,20077,48078,600,Horizontal,Forward
1311,48078,20079,600,Horizontal,Forward
1312,20079,48080,600,Horizontal,Forward
1321,48080,20081,600,Horizontal,Forward
1322,20081,20082,600,Horizontal,Forward
1323,20082,20083,600,Horizontal,Forward
1324,20083,20084,600,Horizontal,Forward
1325,20084,48085,600,Horizontal,Forward
1331,48085,16086,600,Horizontal,Forward
1332,16086,48087,600,Horizontal,Forward
1341,48087,20088,600,Horizontal,Forward
1342,20088,20089,600,Horizontal,Forward
1343,20089,20090,600,Horizontal,Forward
1344,20090,20091,600,Horizontal,Forward
1345,20091,48092,600,Horizontal,Forward
1351,48092,20093,600,Horizontal,Forward
1352,20093,20094,600,Horizontal,Forward
1353,20094,20095,600,Horizontal,Forward
1354,20095,20096,600,Horizontal,Forward
1355,20096,48097,600,Horizontal,Forward
1361,48097,16098,600,Horizontal,Forward
1362,16098,48008,138,R2000,Forward
1371,48011,48097,300,Vertical,Forward
1381,48092,48013,300,Vertical,Forward
1391,48015,48087,300,Vertical,Forward
1401,48016,48020,600,Horizontal,Forward
1411,48085,48021,300,Vertical,Forward
1421,48023,48080,300,Vertical,Forward
1431,48078,48025,300,Vertical,Forward
1441,48028,48075,300,Vertical,Forward
1451,48029,48099,600,Horizontal,Forward
1461,48099,48100,600,Horizontal,Forward
1471,48100,48033,600,Horizontal,Forward
1481,48073,48099,300,Vertical,Forward
1491,48100,48068,300,Vertical,Forward
1501,48066,48035,300,Vertical,Forward
1511,48037,48063,300,Vertical,Forward
1521,48060,48039,300,Vertical,Forward
1531,48041,48057,300,Vertical,Forward
1541,48054,48043,300,Vertical,Forward
1551,48045,48051,300,Vertical,Forward
