Id,PositionX,PositionY,IsWorkStation,CanLeftLoad,CanLeftUnload,CanRightLoad,CanRightUnload,IsCharger,CouplerId,ChargeDirection,IsSegmentPoint,CanSpin,PioDirection,IsTR50,InsideSectionId,OffsetX,OffsetY,OffsetTheta,VehicleHeadAngle
10001,26090,-200,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10002,23350,-200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10003,20850,-200,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10004,19761,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10005,9736,0,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,Couple02,Left,TRUE,FALSE,Left,FALSE,0,0,0,0,0
10006,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10007,0,3300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10008,11622,3300,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,None,None,TRUE,FALSE,Right,FALSE,0,0,0,0,0
10009,23350,3300,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10010,-10400,3300,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Couple01,Right,TRUE,FALSE,None,FALSE,0,0,0,0,0
10011,-5800,3280,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10012,5500,3280,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10013,18580,3280,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
10014,4500,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,None,None,TRUE,FALSE,None,FALSE,0,0,0,0,0
