ID,Track1,Track2,Enable
R1,31201,30701,Y
R2,31202,31129,Y
R3,31901,31401,Y
R4,31902,31842,Y
R5,32201,32101,Y
R6,32202,32642,Y
R7,33301,32901,Y
R8,33302,33239,Y
R9,33801,33401,Y
R10,33802,33742,Y
R11,34301,33901,Y
R12,34302,34238,Y
R13,34901,34401,Y
R14,34902,34842,Y
R15,30410,30806,Y
R16,30901,30801,Y
R17,31007,31505,Y
R18,31601,31501,Y
R19,30501,30401,Y
R20,30506,30908,Y
R21,31701,31001,Y
R22,31705,31608,Y
R23,32301,31801,Y
R24,32401,35801,Y
R25,35704,35801,Y
R26,32402,32144,Y
R27,32501,32601,Y
R28,32502,35601,Y
R29,35701,35601,Y
R30,32801,32943,Y
R31,33101,33001,Y
R32,33001,33503,Y
R33,33601,33501,Y
R34,33102,33601,Y
R35,34001,33701,Y
R36,34002,33939,Y
R37,34601,34101,Y
R38,34101,34502,Y
R39,34601,34501,Y
R40,34602,34701,Y
R41,35101,34801,Y
R42,35102,35043,Y
R43,30201,30101,Y
R44,36303,30201,Y
R45,36301,36401,Y
R46,36401,30103,Y
R47,36201,36501,Y
R48,36701,X,N
R49,36702,X,N
R50,36901,36801,Y
R51,36002,36801,Y
R52,36001,37001,Y
R53,36902,37001,Y
R54,37201,X,N
R55,37202,X,N
R56,37501,37601,Y
R57,35901,37601,Y
R58,37901,X,N
R59,37902,X,N
R60,35501,38301,Y
R61,38202,38301,Y
R62,38501,38401,Y
R63,38502,38643,Y
R64,35401,38901,Y
R65,38801,38901,Y
R66,39001,39101,Y
R67,39002,39106,Y
R68,39401,X,N
R69,39402,X,N
R70,35202,39601,Y
R71,X,38443,N
R72,X,38601,N
