Id,FromAddress,ToAddress,Speed,Type,PermitDirection
60101,10501,10589,0,Horizontal,Forward
60201,10502,10503,0,Horizontal,Forward
60301,10579,10504,0,Horizontal,Forward
60401,10504,10603,0,Vertical,Forward
60501,10505,10506,0,Vertical,Forward
60601,10506,10507,0,Horizontal,Forward
60701,10507,10508,0,Horizontal,Forward
60801,10504,10588,0,Horizontal,Forward
60901,10522,10513,0,Horizontal,Forward
61001,10513,10512,0,Horizontal,Forward
61101,10512,10509,0,Horizontal,Forward
61201,10505,10590,0,Horizontal,Forward
61301,10509,10578,0,Vertical,Forward
61401,10510,10511,0,Horizontal,Forward
61501,10512,10577,0,Vertical,Forward
61601,10514,10592,0,Horizontal,Forward
61701,10514,10515,0,Vertical,Forward
61801,10515,10599,0,Horizontal,Forward
62101,10517,10518,0,Horizontal,Forward
62201,10517,10519,0,Vertical,Forward
62301,10520,10521,0,Horizontal,Forward
62401,10521,10522,0,Vertical,Forward
62501,10513,10520,0,Vertical,Forward
62601,10523,10601,0,Horizontal,Forward
62701,10524,10581,0,Vertical,Forward
63001,10524,10527,0,Horizontal,Forward
63101,10580,10527,0,Vertical,Forward
63201,10523,10528,0,Horizontal,Forward
63301,10600,10528,0,Horizontal,Forward
63401,10527,10529,0,Horizontal,Forward
63501,10529,10530,0,Vertical,Forward
63601,10530,10531,0,Vertical,Forward
63701,10531,10528,0,Horizontal,Forward
63801,10529,10532,0,Horizontal,Forward
63901,10532,10533,0,Vertical,Forward
64001,10533,10534,0,Horizontal,Forward
64101,10534,10535,0,Horizontal,Forward
64201,10535,10536,0,Horizontal,Forward
64301,10536,10537,0,Horizontal,Forward
64401,10537,10538,0,Vertical,Forward
64501,10538,10532,0,Horizontal,Forward
64601,10538,10539,0,Vertical,Forward
64701,10539,10530,0,Horizontal,Forward
64801,10539,10540,0,Vertical,Forward
64901,10540,10545,0,Horizontal,Forward
65001,10545,10531,0,Horizontal,Forward
65101,10545,10544,0,Vertical,Forward
65201,10543,10544,0,Horizontal,Forward
65301,10542,10543,0,Horizontal,Forward
65401,10541,10542,0,Horizontal,Forward
65501,10540,10541,0,Vertical,Forward
65601,10537,10546,0,Horizontal,Forward
65701,10546,10547,0,Horizontal,Forward
65801,10547,10548,0,Horizontal,Forward
65901,10548,10549,0,Horizontal,Forward
66001,10549,10550,0,Vertical,Forward
66101,10550,10538,0,Horizontal,Forward
66201,10550,10602,0,Horizontal,Forward
66501,10604,10539,0,Horizontal,Forward
66601,10553,10554,0,Vertical,Forward
66701,10554,10555,0,Horizontal,Forward
66801,10555,10540,0,Horizontal,Forward
66901,10555,10556,0,Vertical,Forward
67001,10556,10557,0,Horizontal,Forward
67101,10557,10558,0,Horizontal,Forward
67201,10558,10541,0,Horizontal,Forward
67301,10553,10559,0,Horizontal,Forward
67401,10559,10560,0,Horizontal,Forward
67501,10560,10570,0,Horizontal,Forward
67601,10570,10573,0,Horizontal,Forward
67701,10573,10574,0,Vertical,Forward
67801,10574,10571,0,Horizontal,Forward
67901,10574,10575,0,Vertical,Forward
68001,10575,10576,0,Horizontal,Forward
68101,10576,10572,0,Horizontal,Forward
68201,10571,10572,0,Vertical,Forward
68301,10570,10571,0,Vertical,Forward
68401,10571,10561,0,Horizontal,Forward
68501,10560,10561,0,Vertical,Forward
68601,10561,10565,0,Horizontal,Forward
68701,10561,10562,0,Vertical,Forward
68801,10562,10563,0,Horizontal,Forward
68901,10563,10564,0,Horizontal,Forward
69001,10564,10566,0,Horizontal,Forward
69101,10559,10565,0,Vertical,Forward
69201,10565,10566,0,Vertical,Forward
69301,10566,10567,0,Horizontal,Forward
69401,10567,10568,0,Horizontal,Forward
69501,10568,10569,0,Horizontal,Forward
69601,10569,10554,0,Vertical,Forward
69701,10554,10565,0,Horizontal,Forward
69801,10577,10511,0,Horizontal,Forward
69901,10510,10578,0,Horizontal,Forward
70001,10503,10579,0,Horizontal,Forward
70101,10530,10580,0,Horizontal,Forward
70201,10580,10581,0,Horizontal,Forward
70301,10524,10582,0,Horizontal,Forward
70401,10582,10583,0,Vertical,Forward
70501,10583,10584,0,Vertical,Forward
70601,10584,10585,0,Horizontal,Forward
70701,10585,10586,0,Horizontal,Forward
70801,10581,10583,0,Horizontal,Forward
70901,10523,10584,0,Horizontal,Forward
71001,10585,10601,0,Vertical,Forward
71101,10600,10601,0,Vertical,Forward
71201,10586,10512,0,Vertical,Forward
71301,10587,10591,0,Vertical,Forward
71401,10588,10590,0,Vertical,Forward
71501,10589,10603,0,Vertical,Forward
71601,10592,10599,0,Vertical,Forward
71701,10514,10593,0,Horizontal,Forward
71801,10593,10594,0,Horizontal,Forward
71901,10594,10595,0,Horizontal,Forward
72001,10595,10596,0,Vertical,Forward
72101,10518,10596,0,Horizontal,Forward
72201,10519,10597,0,Horizontal,Forward
72301,10597,10598,0,Horizontal,Forward
72401,10598,10515,0,Horizontal,Forward
72501,10519,10595,0,Vertical,Forward
72601,10594,10597,0,Vertical,Forward
72701,10593,10598,0,Vertical,Forward
72801,10528,10580,0,Horizontal,Forward
72901,10523,10581,0,Vertical,Forward
73001,10522,10601,0,Horizontal,Forward
73101,10522,10586,0,Vertical,Forward
73201,10586,10587,0,Horizontal,Forward
73301,10587,10588,0,Horizontal,Forward
73401,10590,10591,0,Horizontal,Forward
73501,10591,10509,0,Horizontal,Forward
73601,10513,10592,0,Horizontal,Forward
73701,10520,10599,0,Horizontal,Forward
73901,10502,10589,0,Horizontal,Forward
74001,10521,10600,0,Horizontal,Forward
74101,10505,10603,0,Horizontal,Forward
74201,10550,10604,0,Vertical,Forward
74301,10604,10553,0,Horizontal,Forward
