Id,FromAddress,ToAddress,Speed,Type,PermitDirection
0151,48010,48011,600,Horizontal,Forward
0011,48011,18001,600,Vertical,Forward
0012,18001,48002,600,Horizontal,Forward
0061,48009,48010,600,Horizontal,Forward
0071,48002,48010,600,Vertical,Forward
0021,48002,48003,600,Horizontal,Forward
0052,18008,48009,600,Horizontal,Forward
0081,48009,48003,600,Vertical,Forward
0031,48003,48004,600,Horizontal,Forward
0041,52005,48004,600,Vertical,Forward
0051,48004,18008,600,Vertical,Forward
0091,48014,48009,600,Vertical,Forward
0131,52019,48017,600,Vertical,Forward
0132,48017,48020,600,Horizontal,Forward
0111,48020,48014,600,Horizontal,Forward
0101,52016,48014,600,Vertical,Forward
0121,48021,48020,600,Vertical,Forward
