Id,FromAddress,ToAddress,Speed,Type,PermitDirection
30101,10001,10002,1000,Horizontal,Forward
30102,10002,11003,1000,Horizontal,Forward
30103,11003,13004,1000,Horizontal,Forward
30104,13004,13005,1000,Horizontal,Forward
30105,13005,13006,1000,Horizontal,Forward
30106,13006,13007,1000,Horizontal,Forward
30107,13007,13008,1000,Horizontal,Forward
30108,13008,13009,1000,Horizontal,Forward
30109,13009,11010,1000,Horizontal,Forward
30110,11010,10011,1000,Horizontal,Forward
30111,10011,10126,1000,Curve_180to270,Forward
30112,10126,10012,1000,Curve_270to360,Forward
30113,10012,10013,1000,Horizontal,Forward
30114,10013,10014,1000,Horizontal,Forward
30201,10001,10071,1000,Curve_0to90,Forward
30202,10071,11072,1000,Horizontal,Forward
30203,11072,13073,1000,Horizontal,Forward
30204,13073,13074,1000,Horizontal,Forward
30205,13074,13075,1000,Horizontal,Forward
30206,13075,13076,1000,Horizontal,Forward
30207,13076,13077,1000,Horizontal,Forward
30208,13077,13078,1000,Horizontal,Forward
30209,13078,10079,1000,Horizontal,Forward
30210,10079,10014,1000,Curve_180to0,Forward
30301,10014,11015,1000,Horizontal,Forward
30302,11015,11016,1000,Horizontal,Forward
30303,11016,10017,1000,Horizontal,Forward
30304,10017,10018,1000,Curve_90to180,Forward
30305,10018,10019,1000,Horizontal,Forward
30401,10019,10020,1000,Horizontal,Forward
30402,10020,11021,1000,Horizontal,Forward
30403,11021,10022,1000,Horizontal,Forward
30404,10022,10023,1000,Horizontal,Forward
30501,10019,10080,1000,Curve_180to270,Forward
30502,10080,13081,1000,Horizontal,Forward
30503,13081,13082,1000,Horizontal,Forward
30504,13082,13083,1000,Horizontal,Forward
30505,13083,13084,1000,Horizontal,Forward
30506,13084,10023,1000,Curve_270to360,Forward
30601,10023,10024,1000,Horizontal,Forward
30602,10024,11025,1000,Horizontal,Forward
30603,11025,11026,1000,Horizontal,Forward
30604,11026,10027,1000,Horizontal,Forward
30701,10027,10028,1000,Horizontal,Forward
30702,10028,10029,1000,Horizontal,Forward
30703,10029,10030,1000,Horizontal,Forward
30801,10023,13085,1000,Curve_180to270,Forward
30802,13085,13086,1000,Horizontal,Forward
30803,13086,13087,1000,Horizontal,Forward
30804,13087,13088,1000,Horizontal,Forward
30805,13088,11089,1000,Horizontal,Forward
30806,11089,13090,1000,Horizontal,Forward
30807,13090,13091,1000,Horizontal,Forward
30808,13091,13092,1000,Horizontal,Forward
30809,13092,13093,1000,Horizontal,Forward
30810,13093,10030,1000,Curve_270to360,Forward
30901,10027,10059,1000,Curve_270to90,Forward
31001,10030,10031,1000,Horizontal,Forward
31002,10031,11032,1000,Horizontal,Forward
31003,11032,11033,1000,Horizontal,Forward
31004,11033,10034,1000,Horizontal,Forward
31101,10034,10035,1000,Horizontal,Forward
31102,10035,10036,1000,Horizontal,Forward
31103,10036,10037,1000,Horizontal,Forward
31201,10030,13094,1000,Curve_180to270,Forward
31202,13094,13095,1000,Horizontal,Forward
31203,13095,13096,1000,Horizontal,Forward
31204,13096,13097,1000,Horizontal,Forward
31205,13097,11098,1000,Horizontal,Forward
31206,11098,13099,1000,Horizontal,Forward
31207,13099,13100,1000,Horizontal,Forward
31208,13100,13101,1000,Horizontal,Forward
31209,13101,13102,1000,Horizontal,Forward
31210,13102,10037,1000,Curve_270to360,Forward
31301,10034,10052,1000,Curve_270to90,Forward
31401,10037,10038,1000,Horizontal,Forward
31501,10038,10039,1000,Horizontal,Forward
31502,10039,11040,1000,Horizontal,Forward
31503,11040,11041,1000,Horizontal,Forward
31504,11041,10042,1000,Horizontal,Forward
31505,10042,10043,1000,Horizontal,Forward
31601,10037,13103,1000,Curve_180to270,Forward
31602,13103,13104,1000,Horizontal,Forward
31603,13104,13105,1000,Horizontal,Forward
31604,13105,13106,1000,Horizontal,Forward
31605,13106,11107,1000,Horizontal,Forward
31606,11107,13108,1000,Horizontal,Forward
31607,13108,13109,1000,Horizontal,Forward
31608,13109,13110,1000,Horizontal,Forward
31609,13110,13111,1000,Horizontal,Forward
31610,13111,10043,1000,Curve_270to360,Forward
31701,10038,10049,1000,Curve_270to90,Forward
31801,10043,10044,1000,Curve_270to90,Forward
31802,10044,11045,1000,Horizontal,Forward
31803,11045,11046,1000,Horizontal,Forward
31804,11046,11047,1000,Horizontal,Forward
31805,11047,10048,1000,Horizontal,Forward
31806,10048,10049,1000,Horizontal,Forward
31901,10049,11050,1000,Horizontal,Forward
31902,11050,10051,1000,Horizontal,Forward
31903,10051,10052,1000,Horizontal,Forward
32001,10052,10053,1000,Horizontal,Forward
32002,10053,11054,1000,Horizontal,Forward
32003,11054,10055,1000,Horizontal,Forward
32004,10055,10056,1000,Horizontal,Forward
32101,10052,10112,1000,Curve_0to90,Forward
32102,10112,13113,1000,Horizontal,Forward
32103,13113,13114,1000,Horizontal,Forward
32104,13114,13115,1000,Horizontal,Forward
32105,13115,10116,1000,Horizontal,Forward
32106,10116,10056,1000,Curve_90to180,Forward
32201,10056,11057,1000,Horizontal,Forward
32202,11057,10058,1000,Horizontal,Forward
32203,10058,10059,1000,Horizontal,Forward
32301,10059,10060,1000,Horizontal,Forward
32302,10060,11061,1000,Horizontal,Forward
32303,11061,10062,1000,Horizontal,Forward
32304,10062,10063,1000,Horizontal,Forward
32401,10059,10117,1000,Curve_0to90,Forward
32402,10117,13118,1000,Horizontal,Forward
32403,13118,13119,1000,Horizontal,Forward
32404,13119,13120,1000,Horizontal,Forward
32405,13120,10121,1000,Horizontal,Forward
32406,10121,10063,1000,Curve_90to180,Forward
32501,10063,11064,1000,Horizontal,Forward
32502,11064,11065,1000,Horizontal,Forward
