Customer,ProductLine,MapInfoFolder,ObjectConverter,IsSelected
CSOT,T4,CSOT_T4,OHTC_CSOT,N
ASE,K21_LINE1,ASE_K21_LINE1,OHBC_ASE_K21,N
ASE,K21_LINE2,ASE_K21_LINE2,OHBC_ASE_K21,N
ASE,K21_LINE3,ASE_K21_LINE3,OHBC_ASE_K21,N
ASE,K21_LOOP,ASE_K21_LOOP,OHBC_ASE_K21,N
ASE,K21_AGVC,ASE_K21_AGVC,AGVC_ASE_K21,N
ASE,K21_STKC01,ASE_K21_STKC01,STKC_ASE_K21,N
ASE,K21_STKC02,ASE_K21_STKC02,STKC_ASE_K21,N
ASE,K21_NTB01,ASE_K21_NTB01,STKC_ASE_K21,N
ASE,K21_NTB02,ASE_K21_NTB02,STKC_ASE_K21,N
ASE,K21_NTB03,ASE_K21_NTB03,STKC_ASE_K21,N
ASE,K21_NTB04,ASE_K21_NTB04,STKC_ASE_K21,N
ASE,K24,ASE_K24,OHBC_ASE_K24,N
AT&S,BAY1,AT_S_BAY1,AGVC_AT_S,N
AT&S,BAY2,AT_S_BAY2,AGVC_AT_S,N
AT&S,OHTC_301,AT_S_OHTC_301,OHTC_AT_S,N
AT&S,OHTC_302,AT_S_OHTC_302,OHTC_AT_S,N
SOUTH_INNOLUX,,SOUTH_INNOLUX,AGVC_SOUTH_INNOLUX,Y
NORTH_INNOLUX,,NORTH_INNOLUX,AGVC_NORTH_INNOLUX,N
AUO,600,AUO_600,AGVC_AUO_600,N
AUO,800,AUO_800,AGVC_AUO_800,N
AUO,C00,AUO_C00,AGVC_AUO_800,N
AUO,4F,AUO_4F,AGVC_AUO_800,N
AUO,FAX,AUO_FAX,AGVC_AUO_800,N
M4,,M4,OHTC_M4,N
AT_S_MALASYIA,,AT_S_MALASYIA,OHTC_AT_S_MALASYIA,N
PTI,,PTI,OHBC_PTI,N
UMTC,2F_Bay3,UMTC_2F_Bay3,AGVC_UMTC,N
UMTC,3F_Bay1,UMTC_3F_Bay1,AGVC_UMTC,N
UMTC,3F_Bay2,UMTC_3F_Bay2,AGVC_UMTC,N
UMTC,3F_Bay3,UMTC_3F_Bay3,AGVC_UMTC,N
UMTC,4F_Bay1,UMTC_4F_Bay1,AGVC_UMTC,N
UMTC,4F_Bay2,UMTC_4F_Bay2,AGVC_UMTC,N
UMTC,4F_Bay3,UMTC_4F_Bay3,AGVC_UMTC,N
UMTC,5F_Bay1,UMTC_5F_Bay1,AGVC_UMTC,N
UMTC,5F_Bay2,UMTC_5F_Bay2,AGVC_UMTC,N
UMTC,5F_Bay3,UMTC_5F_Bay3,AGVC_UMTC,N
MIRLE_2F,,MIRLE_2F,OHTC_2F,N
AT_S_MALASYIA,,TONGLUO_DL_NEW,OHTC_AT_S_MALASYIA,N
