OBJECT_ID,ALARM_ID,ALARM_LVL,ALARM_DESC,ALARM_DESC_TW,HAPPENED_REASON,SOLUSTION
AGV,1,Warn,AlreadyHaveCmd,AlreadyHaveCmd,AGV已有命令所以不接受 AGVC 新的命令,"1.等待AGV把命令做完
2.切到手動終止現有命令, 在切回自動重新接AGVC命令"
AGV,2,Warn,LowPowerCharging,LowPowerCharging,AGV電量在低水位所以不接受 AGVC 的搬送命令,"1.開回充電站進行充電，然後清除異常後，確認AGVC命令，進行復歸重新上線
2.電池百分比是否有異常
3.AGVC百分比設定確認"
AGV,3,Warn,LoadingOff,LoadingOff,AGV 在取貨命令結束時 Loading sensor 顯示無貨,"1.確定站點上是否有貨
2.確認荷有sensor有照到貨物
3.確認荷有sensor正常運作"
AGV,4,Warn,CarrierIdReadFail,CarrierIdReadFail,AGV 讀取 CstId 失敗,"1.確定 BL-1301 位置是否可以讀取
2.開啟 Keyence 確認裝置是否正常讀取(調整照射角度)"
AGV,5,Warn,CarrierIdIsError,CarrierIdIsError,AGV 讀取 CstId 錯誤,"1.確定 BL-1301 位置是否可以讀取
2.開啟 Keyence 確認裝置是否正常讀取(調整照射角度)
3.確認 Cst 上面條碼是否損毀"
AGV,6,Warn,MoveFinishFail,MoveFinishFail,"1.找不到車子定位
2.移動發生偏差","1.查看Log (MoveControl)
2.觀察SR2000是否正常運作。
3.查看Log (扭力值,速度值)
4.檢修輪子機構
5.重新調整馬達 Gain 值"
AGV,7,Warn,LoadingOn,LoadingOn,AGV 在放貨命令結束時 Loading sensor 顯示有貨,"1.確定台車上是否有貨
2.確認荷有sensor狀態"
AGV,8,Warn,TRUCommandExist,TRUCommandExist,放貨前Fork有上一筆命令未完成,"1.查看Log (Comm, Debug)"
AGV,9,Warn,VehicleCannotUnload,VehicleCannotUnload,車子不在放貨位置，無法做放貨動作,"1.確認命令目的地位置是否為放貨站
2.確認地圖圖資取貨站設定"
AGV,10,Warn,TRUCommandExist,TRUCommandExist,取貨前Fork有上一筆命令未完成,"1.查看Log (Comm, Debug)"
AGV,11,Warn,PositionLostWithCmd,PositionLostWithCmd,AGV不在引導路徑,"1.查看Log (Comm, Debug)
2.確認AGVC下達路徑跟AGV所在位置必須有關連性"
AGV,12,Warn,ChargeDirectionError,ChargeDirectionError,AGV 充電站點設定錯誤,"1.確認 Address.csv 充電站站點設定
2.先移動到某站點上，再開回充電站，然後進行復歸重新上線。"
AGV,13,Warn,StartChargeTimeout,StartChargeTimeout,AGV 充電命令 timeout,1.確認 PLC 交握命令
AGV,14,Alarm,StopChargeTimeout,StopChargeTimeout,AGV 充斷電命令 timeout,1.確認 PLC 交握命令
AGV,15,Warn,VehicleCannotload,VehicleCannotload,AGV 取放貨站點設定錯誤,"1.確認命令目的地位置是否為放貨站
2.確認地圖圖資取貨站設定"
AGV,16,Warn,AlreadyHaveCst,AlreadyHaveCst,AGV 車上已有 Cst 所以不能執行取貨命令,
AGV,17,Warn,NoCstToUnload,NoCstToUnload,AGV 車上沒有 Cst 所以不能執行放貨命令,
AGV,18,Warn,MapCheckFail,MapCheckFail,AGV 圖資異常,1.確認圖資檔案 (Address.csv & Asection.csv)
AGV,19,Warn,IsNotTransferCannotOverride,IsNotTransferCannotOverride,AGV 在沒有命令的情況下收到 AGVC Override 命令,
AGV,20,Warn,IsNotMoveStepCannotOverride,IsNotMoveStepCannotOverride,AGV 在不是移動命令的情況下收到 AGVC Override 命令,
AGV,21,Warn,IsNotPauseCannotOverride,IsNotPauseCannotOverride,AGV 在不是 Pause 的情況下收到 AGVC Override 命令,
AGV,22,Warn,OverrideUnloadAddressUnmatch,OverrideUnloadAddressUnmatch,AGV的放貨位置與AGVC 放貨位址不匹配,
AGV,23,Warn,OverrideLoadAddressUnmatch,OverrideLoadAddressUnmatch,AGV的取貨位置與AGVC 放貨位址不匹配,
AGV,24,Warn,OverrideToUnloadIsEmpty,OverrideToUnloadIsEmpty,AGVC路徑清單放貨段為空,
AGV,25,Warn,OverrideToLoadIsEmpty,OverrideToLoadIsEmpty,AGVC路徑清單取貨段為空,
AGV,26,Warn,CheckOverrideException,CheckOverrideException,AGV 異常發生在override-check,
AGV,27,Alarm,AGV is not  on Auto Status,AGV is not  on Auto Status,"AGV W0A00 != 1
可能原因為:
1. 人機沒有切回自動
2. Sensor 異常
3. etc…","1.確認台車要處於 AGV 自動狀態
2.W0A00必須要處於 On的狀態 (確認相關 Sensor 正常)"
AGV,28,Warn,CarrierIdMisMatch,CarrierIdMisMatch,AGV移載ID匹配失誤,
