Id,FromAddress,ToAddress,Speed,Type,PermitDirection,Reverse
30101,10081,10139,1000,Horizontal,Forward,N
30102,10139,10083,1000,Horizontal,Forward,N
30103,10083,10084,1000,Curve_90to180,Forward,N
30104,10084,10133,1000,Horizontal,Forward,N
30105,10133,10001,1000,Curve_180to270,Forward,N
30106,10001,10008,1000,Horizontal,Forward,N
30201,10008,10009,1000,Horizontal,Forward,N
30202,10009,10010,1000,Horizontal,Forward,N
30203,10010,10011,1000,Horizontal,Forward,N
30301,10011,10012,1000,Horizontal,Forward,N
30302,10012,10013,1000,Curve_270to360,Forward,N
30303,10013,10014,1000,Horizontal,Forward,N
30401,10014,10015,1000,Horizontal,Forward,N
30501,10015,10024,1000,Horizontal,Forward,N
30601,10024,10025,1000,Horizontal,Forward,N
30602,10025,10030,1000,Horizontal,Forward,N
30603,10030,10031,1000,Horizontal,Forward,N
30701,10031,10032,1000,Horizontal,Forward,N
30702,10032,10033,1000,Curve_0to90,Forward,N
30703,10033,10034,1000,Horizontal,Forward,N
30801,10034,10140,1000,Horizontal,Forward,N
30802,10140,10035,1000,Horizontal,Forward,N
30803,10035,10036,1000,Curve_90to180,Forward,N
30804,10036,10142,1000,Horizontal,Forward,N
30805,10142,10037,1000,Horizontal,Forward,N
30806,10037,10143,1000,Horizontal,Forward,N
30807,10143,10038,1000,Horizontal,Forward,N
30808,10038,10039,1000,Curve_180to270,Forward,N
30809,10039,10040,1000,Horizontal,Forward,N
30810,10040,10041,1000,Curve_0to90,Forward,N


30901,10041,10042,1000,Horizontal,Forward,N
31001,10042,10043,1000,Curve_270to360,Forward,N
31101,10043,10044,1000,Horizontal,Forward,N
31201,10044,10045,1000,Curve_180to270,Forward,N
31301,10045,10066,1000,Horizontal,Forward,N
31302,10066,10067,1000,Curve_0to90,Forward,N
31303,10067,10068,1000,Horizontal,Forward,N
31501,10068,10141,1000,Horizontal,Forward,N
31502,10141,10069,1000,Horizontal,Forward,N
31503,10069,10070,1000,Curve_90to180,Forward,N
31504,10070,10071,1000,Horizontal,Forward,N
31505,10071,10072,1000,Horizontal,Forward,N
31601,10072,10073,1000,Horizontal,Forward,N
31701,10073,10074,1000,Horizontal,Forward,N
31702,10074,10076,1000,Horizontal,Forward,N
31801,10076,10077,1000,Curve_270to360,Forward,N
31901,10077,10078,1000,Horizontal,Forward,N
32001,10078,10079,1000,Horizontal,Forward,N
32101,10079,10081,1000,Horizontal,Forward,N
32201,10081,10086,1000,Curve_90to270,Forward,N
32202,10086,10095,1000,Horizontal,Forward,N
32301,10095,10079,1000,Curve_270to90,Forward,N
32501,10095,10098,1000,Horizontal,Forward,N
32401,10078,10098,1000,Curve_90to270,Forward,N
32601,10098,10103,1000,Horizontal,Forward,N
32602,10103,10104,1000,Horizontal,Forward,N
32701,10008,10104,1000,Horizontal,Forward,N
32801,10104,10105,1000,Horizontal,Forward,N
32802,10105,10011,1000,Horizontal,Forward,N
32901,10014,10106,1000,Curve_0to90,Forward,N
32902,10106,10107,1000,Horizontal,Forward,N
32903,10107,10043,1000,Horizontal,Forward,N
33001,10044,10136,1000,Horizontal,Forward,N
33002,10136,10112,1000,Horizontal,Forward,N
33003,10112,10077,1000,Horizontal,Forward,N
33101,10076,10113,1000,Curve_180to270,Forward,N
33102,10113,10114,1000,Horizontal,Forward,N
33103,10114,10045,1000,Curve_270to360,Forward,N
33201,10042,10115,1000,Curve_180to270,Forward,N
33202,10115,10116,1000,Horizontal,Forward,N
33203,10116,10015,1000,Curve_270to360,Forward,N
33301,10024,10117,1000,Horizontal,Forward,N
33302,10117,10118,1000,Horizontal,Forward,N
33303,10118,10031,1000,Horizontal,Forward,N
33401,10034,10119,1000,Curve_90to180,Forward,N
33402,10119,10124,1000,Horizontal,Forward,N
33403,10124,10041,1000,Horizontal,Forward,N
33501,10068,10125,1000,Curve_90to180,Forward,N
33502,10125,10126,1000,Horizontal,Forward,N
33503,10126,10127,1000,Curve_270to360,Forward,N
33601,10127,10128,1000,Horizontal,Forward,N
33602,10128,10072,1000,Curve_90to180,Forward,N
33701,10073,10129,1000,Curve_180to270,Forward,N
33702,10129,10130,1000,Horizontal,Forward,N
33703,10130,10131,1000,Curve_270to360,Forward,N
33704,10131,10132,1000,Horizontal,Forward,N
33705,10132,10127,1000,Curve_0to90,Forward,N
