ShelfID,ZoneID,ADR_ID
200101,BAY01,12004
200201,BAY01,12005
200301,BAY01,12006
200401,BAY01,12007
200501,BAY01,12014
200601,BAY01,12015
200701,BAY01,12016
200801,BAY01,12017

100101,BAY01,12004
100201,BAY01,12005
100301,BAY01,12006
100401,BAY01,12007
100801,BAY01,12011
100501,BAY01,12008
100601,BAY01,12009
100701,BAY01,12010
100402,BAY02,12042
100302,BAY02,12041
100202,BAY02,12040
100102,BAY02,12039

200403,BAY03,12088
200303,BAY03,12087
200203,BAY03,12086
200103,BAY03,12085
200104,BAY04,12066
200204,BAY04,12067
200304,BAY04,12068
200404,BAY04,12069
200804,BAY04,12073
200704,BAY04,12072
200604,BAY04,12071
200504,BAY04,12070
200904,BAY04,12076
201004,BAY04,12077
201104,BAY04,12078
201204,BAY04,12079
201205,BAY05,12114
201105,BAY05,12113
201005,BAY05,12112
200905,BAY05,12111
200505,BAY05,12107
200605,BAY05,12108
200705,BAY05,12109
200805,BAY05,12110
200405,BAY05,12106
200305,BAY05,12105
200205,BAY05,12104
200105,BAY05,12103

100105,BAY05,12103
100205,BAY05,12104
100305,BAY05,12105
100405,BAY05,12106
100805,BAY05,12110
100905,BAY05,12111
101005,BAY05,12112
101105,BAY05,12113
101205,BAY05,12114
101305,BAY05,12115
101405,BAY05,12116
101505,BAY05,12117
101605,BAY05,12118
101705,BAY05,12119
101805,BAY05,12120
101905,BAY05,12121
102005,BAY05,12122
100705,BAY05,12109
100605,BAY05,12108
100505,BAY05,12107

200106,BAY06,12055
200206,BAY06,12056
200306,BAY06,12057
200406,BAY06,12058
