Id,FromAddress,ToAddress,Speed,Type,PermitDirection
0011,20001,20002,1000,Horizontal,Forward
0021,20002,10003,1000,Horizontal,Forward
0031,10003,15004,1000,Vertical,Forward
0041,15004,20005,1000,Vertical,Forward
0051,20005,20006,1000,Horizontal,Forward
0061,15004,15007,1000,Horizontal,Forward
0071,15007,10008,1000,Horizontal,Forward
0081,10008,10009,1000,Horizontal,Forward
0091,10009,10010,1000,Horizontal,Forward
0101,10010,10011,1000,Vertical,Forward
0111,20012,20013,1000,Horizontal,Forward
0121,20013,15014,1000,Horizontal,Forward
0131,15014,15015,1000,Horizontal,Forward
0141,15015,10016,1000,Horizontal,Forward
0151,10016,10017,1000,Horizontal,Forward
0161,10010,15014,1000,Horizontal,Forward
0171,10011,15015,1000,Horizontal,Forward
0181,10016,20018,1000,Vertical,Forward
0191,10017,20019,1000,Vertical,Forward
0201,15015,20062,1000,Horizontal,Forward
0221,20022,20023,1000,Horizontal,Forward
0231,20023,15025,1000,Horizontal,Forward
0241,10024,15025,1000,Vertical,Forward
0251,10066,15025,1000,Horizontal,Forward
0261,10026,20027,1000,Vertical,Forward
0271,15025,10026,1000,Horizontal,Forward
0281,10028,20029,1000,Vertical,Forward
0291,15025,10028,1000,Horizontal,Forward
0301,15030,10031,1000,Vertical,Forward
0381,10037,10038,1000,Horizontal,Forward
0391,10038,15041,1000,Horizontal,Forward
0401,10039,10040,1000,Horizontal,Forward
0411,10040,15041,1000,Horizontal,Forward
0421,10036,15041,1000,Horizontal,Forward
0311,15030,10032,1000,Horizontal,Forward
0321,10032,10033,1000,Horizontal,Forward
0331,10024,15030,1000,Horizontal,Forward
0341,15025,10031,1000,Horizontal,Forward
0351,10032,20034,1000,Vertical,Forward
0361,10033,20035,1000,Vertical,Forward
0371,15030,10036,1000,Horizontal,Forward
0431,10037,20042,1000,Vertical,Forward
0441,10038,20043,1000,Vertical,Forward
0451,10039,20044,1000,Vertical,Forward
0461,10040,20045,1000,Vertical,Forward
0471,10046,15047,1000,Vertical,Forward
0481,15047,10048,1000,Horizontal,Forward
0491,10048,10049,1000,Horizontal,Forward
0501,10049,10050,1000,Horizontal,Forward
0511,15047,10051,1000,Horizontal,Forward
0521,10051,10052,1000,Horizontal,Forward
0531,15041,10046,1000,Horizontal,Forward
0541,10050,24053,1000,Vertical,Forward
0551,10048,20054,1000,Vertical,Forward
0561,10049,20055,1000,Vertical,Forward
0571,10051,20056,1000,Vertical,Forward
0581,10052,20057,1000,Vertical,Forward
0591,10046,15058,1000,Horizontal,Forward
0601,15058,10059,1000,Horizontal,Forward
0611,10059,20060,1000,Vertical,Forward
0621,20060,20061,1000,Horizontal,Forward
0631,20062,10065,1000,Horizontal,Forward
0641,20062,15063,1000,Vertical,Forward
0651,15063,24064,1000,Vertical,Forward
0661,10065,20020,1000,Vertical,Forward
0671,10066,20021,1000,Vertical,Forward
0672,10065,10066,1000,Horizontal,Forward
